'30',,'20-01-2015 09:49:55','en','20-01-2015 09:37:21','20-01-2015 09:49:54','88.11.22.69','http://research.nualart.cat/survey/index.php/152341','A4','0','1','0','1','1','1','1','0','0','0','0','0','0','0','0',,'2','2',,'A1',,,,,'A6','A4','A3','A5','A8','A7','A2','A1',,,'A5','A1','A5','A5','A4','A1','A4','A2',,,'A4','A4','A4','A3','A5','A2','A1',,,'A1','A5','A1','A5','A4','A2','A1',,,'A1','A1','A1','A5','A4','A2','A1',,,'A1','A5','A5','A5','A4'
'31',,,'en','20-01-2015 10:25:13','20-01-2015 10:27:46','62.178.161.193','http://research.nualart.cat/survey/index.php/152341','A5','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0',,'1','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'32',,'20-01-2015 11:08:19','en','20-01-2015 10:56:24','20-01-2015 11:08:18','24.232.138.168','http://research.nualart.cat/survey/index.php/152341','A5','0','0','1','0','0','0','1','0','0','1','0','1','0','0','0',,'1','2','no','A4','A4','A4',,,'A6','A4',,,,,,,,,'A5','A4','A4','A2','A1',,,,,,'A2','A2','A2','A2','A1','A2','A1',,,'A3',,,,'A1','A1',,,,'A2','A2','A2','A2','A1','A2','A1',,,'A5','A4','A4','A4','A5'
'33',,'20-01-2015 13:09:12','en','20-01-2015 12:49:45','20-01-2015 13:09:12','121.127.217.21','http://research.nualart.cat/survey/index.php/152341','A2','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0',,'1','2','No','A1','A5','A5','They use at the same time legal language and very technical language in a specific domain.  This seems at times gratuitous and unnecessary.  I also get the impression that they remain vague in same parts, so that ambiguity can be used to fight legal battles.','Perhaps through the introduction of use cases.  This might not be possible for all patents, though.  An explanation in lay terms of what the intent of the patent is would also help.  Perhaps it might be excluded from being legally binding and only included for the purpose of explaining what the inventor has in mind.  In general, non-binding text and figures could be added to guide the readers in understanding the actual patent text.','A5','A6','A4','A7','A8','A2','A1','A3',,,'A1','A1','A1','A1','A5','A2','A4','A1',,,'A5','A5','A5','A5','A5','A2','A1',,,'A1','A1','A1','A1','A5','A2','A1',,,'A1','A1','A1','A1','A5','A2','A1',,,'A1','A1','A1','A1','A5'
'34',,,'en','20-01-2015 15:25:22','20-01-2015 15:25:59','84.88.72.252','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0',,'1','1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'35',,,'en','20-01-2015 16:41:27','20-01-2015 16:42:50','146.219.19.160','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1',,'2','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'36',,'20-01-2015 16:48:57','en','20-01-2015 16:42:58','20-01-2015 16:48:57','41.63.165.75','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0',,'1','1','PhD & Thesis','A1','A5','A3',,,'A7','A6',,,,,,,'1',,'A5','A5','A4','A5','A5','A2',,,,,'A5','A5','A4','A5','A5','A2',,,,'A5','A5','A4','A5','A5','A2',,,,'A5','A5','A4','A5','A5','A2','A1',,,'A5','A5','A4','A5','A5'
'37',,,'en','20-01-2015 16:44:48','20-01-2015 16:48:20','79.153.79.47','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0',,'1','2','No.','A5','A1','A1',,,'A4','A8','A6','A7','A5','A2','A3','A1',,,'A5','A1','A1',,'A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'38',,,'en','20-01-2015 16:57:41','20-01-2015 17:01:55','195.57.19.100','http://research.nualart.cat/survey/index.php/152341','A3','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0',,'1','1','Educational books',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'39',,,'en','20-01-2015 17:20:20','20-01-2015 17:20:28','95.17.12.96','http://research.nualart.cat/survey/index.php/152341',,'0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
